bbl,bin,jobnum,year,units,counits,zonedist,zonedistb,spdist,cd,lat,long,geometry,index_right,bbl_pluto,lotarea,lotfront,lottype,bldgclass,zonedist1,overlay1,spdist1
1004207501,1087549,102491590,2010,55,54,C6-1, , ,103,40.7200323,-73.99165073,POINT (-73.99165073 40.7200323),1942,1004207501.0,8533,125.1,0,R4,C6-2A,,
1004710015,1087877,102922955,2010,5,5,C6-2G, ,LI,102,40.72017416,-73.99720576,POINT (-73.99720576 40.72017416),6586,1004710015.0,1906,24.83,5,S5,C6-2G,,LI
1016390027,1087368,103174084,2011,30,30,R7-2, , ,111,40.79537356,-73.94330405,POINT (-73.94330404999999 40.79537356),30649,1016390027.0,6106,60.5,5,D3,R7A,,
1017160051,1089401,103322815,2013,39,39,R7-2, , ,111,40.79596603,-73.9321605,POINT (-73.93216049999999 40.79596603),32804,1017160051.0,7424,75.75,5,D3,R7A,,
1016767505,1088159,103368160,2010,8,8,R7-2,C2-5, ,111,40.78878391,-73.94105396,POINT (-73.94105396 40.78878391),32266,1016767505.0,1875,25.0,0,RM,R8A,C2-5,
1005867502,1088707,103490624,2010,5,5,C2-6, , ,102,40.73098916,-74.00398987,POINT (-74.00398987 40.73098916),9547,1005867502.0,2038,34.0,0,RM,C2-6,,
1016330020,1088165,103523821,2010,37,37,C1-5,R7-2, ,111,40.79166542,-73.94633636,POINT (-73.94633636 40.79166542),30440,1016330020.0,7592,75.0,3,D6,R7D,C1-5,EHC
1020457505,1089581,103630215,2016,14,14,R8, , ,110,40.82388267,-73.94183275,POINT (-73.94183275 40.82388267),33156,1020457505.0,2498,25.0,0,R4,R8,,
1006957510,1090389,103715393,2016,6,6,M1-5,R9A, ,104,40.74890834,-74.00632494,POINT (-74.00632494 40.74890834),11474,1006957510.0,2469,25.0,0,RM,C6-3A,,WCh
1017860045,1054620,103731473,2017,4,4,R7A, , ,111,40.80130916,-73.93677343,POINT (-73.93677343 40.80130916),34536,1017860045.0,2523,25.0,5,S4,R7A,,
1019160154,1058136,103769254,2012,2,2,R7-2, , ,110,40.81281858,-73.94425595,POINT (-73.94425595 40.81281858),37548,1019160154.0,1199,12.0,5,B1,R7-2,,
1006370051,1012002,103859521,2014,6,6,C6-2, , ,102,40.73507789,-74.00966946,POINT (-74.00966946 40.73507789),11216,1006370051.0,2170,23.5,5,D1,C1-7,,
1016440041,1088163,103869164,2011,1,1,R7A, , ,111,40.79871947,-73.94012773,POINT (-73.94012773 40.79871947),30756,1016440041.0,1802,25.0,5,S1,R7A,,
