resdist,commdist
R3-2,C3
R5,C4-1
R6,C4-2 C4-3 C6-1A
R6A,C4-2A C4-3A
R7-2,C1-6 C2-6 C4-4 C4-5 C6-1
R7A,C1-6A C2-6A C4-4A C4-5A
R7D,C4-5D
R7X,C4-5X
R8,C1-7 C4-2F C6-2
R8A,C1-7A C4-4D C6-2A
R9,C1-8 C2-7 C6-3
R9A,C1-8A C2-7A C6-3A
R9D,C6-3D
R9X,C1-8X C2-7X C6-3X
R10,C1-9 C2-8 C4-6 C4-7 C5 C6-4 C6-5 C6-6 C6-7 C6-8 C6-9
R10A,C1-9A C2-8A C4-6A C4-7A C5-1A C5-2A C6-4A
R10X,C6-4X
