bin,filename,url
1088656,104749881,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=749000&cofomatadata5=104749881.PDF
1088656,104749881,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=749000&cofomatadata5=104749881.PDF
1088120,104767682,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=767000&cofomatadata5=104767682.PDF
1088706,104793190,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=793000&cofomatadata5=104793190.PDF
1088646,104799648-39,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=799000&cofomatadata5=104799648-39.PDF
1045197,104817913,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=817000&cofomatadata5=104817913.PDF
1088500,104834529,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=834000&cofomatadata5=104834529.PDF
1088640,104844144,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=844000&cofomatadata5=104844144.PDF
1088437,104844581-50,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=844000&cofomatadata5=104844581-50.PDF
1081034,104848658,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=848000&cofomatadata5=104848658.PDF
1089832,104854123,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=854000&cofomatadata5=104854123.PDF
1088726,104856942,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=856000&cofomatadata5=104856942.PDF
1088501,104858021,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=858000&cofomatadata5=104858021.PDF
1087835,104863961,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=863000&cofomatadata5=104863961.PDF
1088271,104872014,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=872000&cofomatadata5=104872014.PDF
1088502,104878651-45,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=878000&cofomatadata5=104878651-45.PDF
1088611,104879981,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=879000&cofomatadata5=104879981.PDF
1088495,104881371,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=881000&cofomatadata5=104881371.PDF
1088890,104897284,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=897000&cofomatadata5=104897284.PDF
1088953,no co,
1047550,104904800,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=904000&cofomatadata5=104904800.PDF
1088126,104914782,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=914000&cofomatadata5=104914782.PDF
1088551,104915193,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=915000&cofomatadata5=104915193.PDF
1088887,104929482,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=929000&cofomatadata5=104929482.PDF
1088506,104930023,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=930000&cofomatadata5=104930023.PDF
1090448,104935171,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=104&cofomatadata4=935000&cofomatadata5=104935171.PDF
1090179,110005743,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=110&cofomatadata4=005000&cofomatadata5=110005743.PDF
1088881,110009188,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=110&cofomatadata4=009000&cofomatadata5=110009188.PDF
1090452,110015894-06,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?cofomatadata1=cofo&cofomatadata2=M&cofomatadata3=110&cofomatadata4=015000&cofomatadata5=110015894-06.PDF
