bbl,bin,jobnum,units,zonedistadj,parktype,reqspaces,waiverspaces,lat,long
1004067503,1089863,104325650,11.0,R8B,not required,0,0,40.72890245,-73.97939905
1013697502,1040540,104335667,6.0,R10,not required,0,0,40.75793795,-73.96140802
1001070028,1088490,104340713,40.0,R8A,not required,0,0,40.70841951,-74.00075798
1007467507,1087987,104349821,14.0,R7-2,not required,0,0,40.74591552,-74.00060972
1015297501,1048713,104359196,3.0,R8B,not required,0,0,40.77672497,-73.9535768
1004150010,1089458,104369844,1.0,R7-2,not required,0,0,40.72014998,-73.99067484
1006940039,1087591,104383613,111.0,R9A,not required,0,0,40.74753519,-74.00468742
1005077502,1088895,104400300,24.0,R7-2,not required,0,0,40.723085,-73.993376
1003537503,1088708,104403511,24.0,R7A,not required,0,0,40.719292,-73.987183
1003450058,1088482,104408071,248.0,R7-2,not required,0,0,40.72048354,-73.98173808
1001497502,1087951,104409766,84.0,R10A,not required,0,0,40.71461182,-74.00636952
1006967502,1088748,104415633,18.0,R9,not required,0,0,40.74874781,-74.00384311
1020117501,1060104,104429968,10.0,R7-2,required - high density,5,0,40.81947054,-73.93929515
1005957505,1088839,104439546,9.0,M1-5,not required,0,0,40.724795,-74.009875
1002837503,1089025,104441695,23.0,R8,not required,0,0,40.7141886,-73.99156317
1002767503,1088682,104444996,28.0,R7-2,not required,0,0,40.71171792,-73.99501294
1018287506,1088153,104471938,36.0,R7-2,required - high density,18,0,40.80170672,-73.95641083
1016447502,1052311,104500238,19.0,R7-2,required - high density,10,0,40.79898699,-73.94085023
1016447501,1088162,104500693,22.0,R7A,required - high density,7,0,40.79879816,-73.94038377
1005947510,1089837,104502566,31.0,R8A,not required,0,0,40.72494837,-74.00871534
1017360001,1083987,104510218,64.0,R7-2,required - high density,32,17,40.81618835,-73.93887635
1019530030,1059340,104512591,8.0,R7-2,required - high density,4,0,40.81113843,-73.95087471
1020650022,1061578,104523464,16.0,R7-2,required - high density,8,0,40.82779136,-73.94325836
1015447502,1077060,104529413,7.0,R8B,not required,0,0,40.77491093,-73.95323941
1010637502,1087823,104530562,83.0,R8,not required,0,0,40.76601993,-73.98848616
1020627501,1089332,104531231,12.0,R7-2,required - high density,6,0,40.8259075,-73.94374916
1011697502,1088577,104550022,33.0,R10A,not required,0,0,40.78273159,-73.98007295
1021550026,1063701,104551414,16.0,R7-2,required - high density,8,0,40.84856795,-73.93128259
1013447503,1089775,104560235,123.0,R10,not required,0,0,40.7555799,-73.96755747
1015540023,1087665,104563401,113.0,R8B,not required,0,0,40.78038957,-73.94721705
1021807504,1088734,104566578,40.0,R7-2,required - high density,20,0,40.8568682,-73.93394925
1007367501,1089889,104576246,108.0,R8A,not required,0,0,40.756409,-73.99451
1012607502,1034238,104579038,53.0,R10,not required,0,0,40.7563228,-73.98220963
1018487503,1088733,104585325,73.0,R8,required - high density,29,14,40.80414455,-73.9560195
1006957507,1088639,104589562,11.0,R8A,not required,0,0,40.74817338,-74.00467784
1016837502,1052875,104590435,21.0,R7A,required - high density,6,0,40.79352858,-73.9389722
1006417503,1087979,104603216,12.0,R7A,not required,0,0,40.73771206,-74.00886883
1018070015,1089085,104619646,41.0,R7-2,required - high density,21,0,40.79754556,-73.93257965
1016617503,1076370,104624300,12.0,R7A,required - high density,4,0,40.79445208,-73.94113871
1007600068,1013606,104626031,207.0,C6-4M,not required,0,0,40.75481661,-73.9943859
1005090019,1082676,104626282,9.0,R9,not required,0,0,40.72457956,-73.99491673
1019557502,1088814,104627254,22.0,R8,required - high density,9,0,40.81262704,-73.95051924
1019167501,1088684,104627290,8.0,R7-2,required - high density,4,0,40.81218036,-73.94367241
1016077503,1051489,104631150,229.0,R9,required - high density,92,77,40.79116938,-73.95230254
1001907508,1088918,104631837,6.0,M1-5,not required,0,0,40.719893,-74.006111
1008610004,1089951,104632319,165.0,R10,not required,0,0,40.74671903,-73.98528503
1016317501,1089312,104644832,42.0,R7-2,required - high density,21,0,40.79051154,-73.94718658
1017857502,1088601,104661037,64.0,R7A,required - high density,19,4,40.80060436,-73.93766711
1005777504,1088513,104672481,30.0,R8,not required,0,0,40.73615506,-73.99474269
1005267502,1089989,104676931,4.0,R7-2,not required,0,0,40.72882426,-74.00095242
1019320033,1087804,104693315,46.0,R7-2,required - high density,14,0,40.81025766,-73.94793223
1003847505,1087923,104700094,5.0,R7-2,not required,0,0,40.72143324,-73.98249851
1018337506,1088631,104711689,132.0,R7-2,not required,0,0,40.79432039,-73.96598152
1018337507,1088152,104711698,63.0,R7-2,not required,0,0,40.79496684,-73.96562872
1018337505,1088481,104714677,56.0,R7-2,not required,0,0,40.793794,-73.96646939
1008947504,1088713,104718405,125.0,R10,not required,0,0,40.74919882,-73.97735735
1008057502,1015146,104731300,302.0,R10X,not required,0,0,40.74709463,-73.99015086
1019270061,1089789,104735324,41.0,R8A,required - high density,16,1,40.80797856,-73.95239508
1000900017,1089790,104735912,168.0,R10,not required,0,0,40.71088037,-74.00737278
1007167505,1088185,104736680,22.0,R8A,not required,0,0,40.74494473,-74.00575557
1018307502,1087928,104739669,38.0,R8A,required - high density,15,0,40.80319056,-73.95589418
1009397501,1087841,104741969,130.0,R10,not required,0,0,40.74397085,-73.97547081
1005440065,1088207,104743495,132.0,M1-5B,not required,0,0,40.72741083,-73.99181704
1008780045,1088656,104749881,18.0,R10A,not required,0,0,40.73880302,-73.98371107
1017957502,1054724,104750930,11.0,R7A,required - high density,3,0,40.79806858,-73.93477665
1020890045,1088132,104760288,86.0,R8,required - high density,34,0,40.8255059,-73.95278901
1011587507,1088576,104766282,310.0,R8,not required,0,0,40.77535556,-73.98446898
1007090031,1088724,104766479,835.0,R10,not required,0,0,40.75706209,-73.99817401
1007010062,1088120,104767682,369.0,R10,not required,0,0,40.75279698,-74.00329131
1018237503,1088791,104773167,12.0,R7-2,required - high density,6,0,40.80060308,-73.95180462
1004537501,1088706,104793190,36.0,R7-2,not required,0,0,40.73013535,-73.98531131
1016600038,1089423,104794616,50.0,R7A,required - high density,15,0,40.79413859,-73.94135853
1016810031,1089414,104794625,34.0,R7A,required - high density,10,0,40.79222562,-73.93878279
1018477503,1088151,104797793,28.0,R8A,required - high density,11,0,40.8028799,-73.95688391
1001767501,1088646,104799648,146.0,R10,not required,0,0,40.7176487,-74.00629861
1019417501,1088139,104814355,12.0,R7-2,required - high density,6,0,40.81636141,-73.94556627
1014527501,1045197,104817913,32.0,R10,not required,0,0,40.77202786,-73.9556533
1017880035,1089718,104829072,22.0,R7-2,required - high density,11,0,40.80231239,-73.93509334
1004697505,1088500,104834529,47.0,R10A,not required,0,0,40.73296892,-73.98696159
1019297504,1090411,104840932,168.0,R8A,required - high density,67,52,40.80912043,-73.95144353
1002927502,1088640,104844144,83.0,C6-1G,not required,0,0,40.71527215,-73.99380199
1010517502,1088437,104844581,814.0,R10,not required,0,0,40.75903156,-73.99497578
1016610024,1088161,104845107,16.0,R8A,required - high density,6,0,40.79422997,-73.940217
1011637503,1081034,104848658,196.0,R10A,not required,0,0,40.77862278,-73.98246355
1003100035,1089832,104854123,10.0,R8,not required,0,0,40.7158129,-73.98997956
1010827501,1088726,104856942,864.0,R9X,not required,0,0,40.76769607,-73.99214857
1004700003,1088501,104858021,5.0,C6-2G,not required,0,0,40.71942066,-73.99606439
1020657501,1061573,104858049,12.0,R7-2,required - high density,6,0,40.82813744,-73.94419394
1016250016,1088689,104859191,298.0,R7-2,required - high density,149,134,40.78704766,-73.95054368
1011717508,1087835,104863961,286.0,R10,not required,0,0,40.7746071,-73.99078524
1017267501,1088395,104866316,12.0,R7-2,required - high density,6,0,40.80924911,-73.9416296
1019270001,1088143,104870481,11.0,R8A,required - high density,4,0,40.80756251,-73.95261167
1011710148,1088271,104872014,209.0,R10,not required,0,0,40.77442263,-73.99017902
1004767502,1088502,104878651,7.0,M1-5A,not required,0,0,40.72282757,-74.00369687
1002187504,1088611,104879981,21.0,M1-5,not required,0,0,40.72261338,-74.01026182
1003967501,1088495,104881371,17.0,R7A,not required,0,0,40.72879624,-73.97825118
1019087505,1088145,104888481,8.0,R7-2,required - high density,4,0,40.80719085,-73.94764592
1019087504,1087830,104888702,26.0,R7-2,required - high density,13,0,40.807088,-73.94737716
1019877501,1088604,104893527,32.0,R7-2,required - high density,16,0,40.81818566,-73.95404303
1019287506,1088263,104893929,89.0,R8A,required - high density,36,21,40.80846455,-73.95201097
1005270013,1088890,104897284,1.0,R6,not required,0,0,40.72934004,-74.00323667
1005270016,1088953,104897300,2.0,R6,not required,0,0,40.72939155,-74.00307664
1016800148,1089783,104898229,20.0,R7A,required - high density,6,0,40.79221065,-73.94067666
1015107502,1047550,104904800,4.0,R10,not required,0,0,40.77711648,-73.95901676
1006997502,1088126,104914782,90.0,R9,not required,0,0,40.75145591,-74.00385008
1008737501,1088551,104915193,9.0,R8A,not required,0,0,40.73630514,-73.98739955
1017537504,1087968,104919778,13.0,R7-2,required - high density,7,0,40.80757909,-73.93861165
1010707502,1088887,104929482,7.0,R10,not required,0,0,40.76000618,-73.99708067
1004920037,1088506,104930023,7.0,R7-2,not required,0,0,40.72130691,-73.9940528
1006990033,1090448,104935171,89.0,R9,not required,0,0,40.75070878,-74.00237647
1013077502,1090179,110005743,94.0,R10,not required,0,0,40.75830369,-73.97143032
1005297509,1088881,110009188,7.0,M1-5B,not required,0,0,40.72591,-73.993196
1007310039,1090452,110015894,12.0,R10,not required,0,0,40.752946,-73.997037
1000177501,1090192,110017151,186.0,R10,not required,0,0,40.70781356,-74.01501824
1008387501,1015937,110019266,178.0,R10,not required,0,0,40.75010387,-73.98381227
1008067501,1088526,110019738,26.0,M1-6,not required,0,0,40.74825938,-73.99142852
1018070041,1088775,110021413,12.0,R7-2,required - high density,6,0,40.79805976,-73.93282619
1008580045,1088542,110030190,1.0,R10,not required,0,0,40.74391882,-73.98413453
1019287505,1088141,110033605,4.0,R7A,required - high density,1,0,40.80816712,-73.95189221
1016157501,1089046,110041473,111.0,R10,required - high density,44,29,40.79628903,-73.94903108
1016217502,1088480,110042551,55.0,R7-2,required - high density,17,2,40.7992451,-73.94476967
1010340038,1088466,110045004,9.0,R8,not required,0,0,40.75831387,-73.98966906
1009287504,1088559,110052031,98.0,R10A,not required,0,0,40.73751424,-73.98076121
1007987507,1088888,110052479,29.0,R9X,not required,0,0,40.7430539,-73.99392835
1004000021,1088695,110055396,10.0,R7B,not required,0,0,40.72412443,-73.98311228
1004897502,1088605,110055831,39.0,M1-5B,not required,0,0,40.72398468,-74.00379611
1014477502,1088591,110058384,27.0,R10,not required,0,0,40.76834464,-73.9559548
1016830043,1089260,110060950,26.0,R7A,required - high density,8,0,40.79389402,-73.93880513
1012437502,1088822,110063494,15.0,R10,not required,0,0,40.79488251,-73.97313767
1019487502,1088610,110073571,73.0,R8A,required - high density,29,14,40.80914182,-73.95522684
1008077502,1088533,110075971,336.0,R10,not required,0,0,40.74843558,-73.98932045
1000167519,1087848,110078040,191.0,R10,not required,0,0,40.71660421,-74.01433359
1000167520,1087847,110078059,280.0,R10,not required,0,0,40.71592328,-74.01479786
1010637503,1088574,110084159,95.0,R8,not required,0,0,40.76672186,-73.98969351
1004340010,1089397,110086567,8.0,R7A,not required,0,0,40.72666961,-73.98544774
1019290017,1088671,110086834,60.0,R8,required - high density,24,9,40.80833035,-73.95041359
1001237502,1089428,110089779,346.0,R10,not required,0,0,40.71283012,-74.00915098
1019250025,1088701,110093559,36.0,R7A,required - high density,11,0,40.8055854,-73.95168143
1020430007,1060741,110093568,20.0,R7-2,required - high density,10,0,40.8207535,-73.94442718
1016550031,1089802,110093835,29.0,R7A,required - high density,9,0,40.7906918,-73.94321177
1010370026,1089665,110095708,8.0,R8,not required,0,0,40.76027024,-73.98847203
1010377501,1090496,110099722,12.0,R10,not required,0,0,40.76004863,-73.98801941
1017860001,1088270,110104413,60.0,R8A,required - high density,24,9,40.80118954,-73.93729037
1012430139,1088578,110108437,9.0,R9,not required,0,0,40.79413968,-73.97129634
1004080028,1088619,110110380,15.0,R7A,not required,0,0,40.71727539,-73.99036351
1021200066,1087981,110112565,16.0,R7-2,required - high density,8,0,40.83640851,-73.94221244
1003557501,1088655,110115973,8.0,R8A,not required,0,0,40.72150579,-73.98494074
1017457503,1088477,110118113,27.0,R7-2,required - high density,14,0,40.80162737,-73.94393127
1016220034,1089051,110118382,4.0,R7-2,required - high density,2,0,40.7996501,-73.94339881
1017700048,1088850,110121724,11.0,R7B,required - high density,6,1,40.80206713,-73.93830389
1017680111,1089076,110121733,4.0,R7-2,required - high density,2,0,40.8009697,-73.9406604
1016457502,1088805,110121742,29.0,R7-2,required - high density,15,0,40.79946642,-73.94075233
1017457502,1088264,110123955,38.0,R7-2,required - high density,11,0,40.80204421,-73.94501827
1017457502,1088720,110131161,16.0,R7-2,required - high density,5,0,40.80235269,-73.94486143
1014550021,1045277,110131606,209.0,R9,not required,0,0,40.75973427,-73.95940993
1017700042,1088851,110132491,4.0,R7B,required - high density,2,0,40.80189316,-73.93790865
1016450050,1052357,110133613,58.0,R7-2,required - high density,17,2,40.79954051,-73.94027763
1021700281,1089182,110135880,17.0,R7-2,required - high density,9,0,40.85580236,-73.93090667
1016270043,1090678,110138271,11.0,R7A,required - high density,3,0,40.78783402,-73.94828307
1000760024,1088484,110140008,56.0,R10,not required,0,0,40.70869411,-74.00579105
1021700281,1089183,110140632,13.0,R7-2,required - high density,7,0,40.85595516,-73.93128963
1016150055,1090734,110145469,5.0,R7-2,required - high density,3,0,40.79599743,-73.94813683
1016160051,1089399,110148714,12.0,R8A,required - high density,5,0,40.79653647,-73.94706908
1016830010,1089060,110154653,12.0,R7A,required - high density,4,0,40.79359181,-73.93907984
1016167501,1089776,110154662,20.0,R7-2,required - high density,10,0,40.79590388,-73.94645277
1015217502,1090187,110156072,7.0,R8B,not required,0,0,40.783303,-73.951429
1004407504,1089404,110162190,10.0,R8B,not required,0,0,40.72963698,-73.98214649
1008227505,1088616,110176951,9.0,R10A,not required,0,0,40.74058284,-73.99175694
1016390028,1089055,110182089,12.0,R7A,required - high density,4,0,40.79530975,-73.94316538
1016370023,1089054,110182098,12.0,R7-2,required - high density,6,0,40.79419732,-73.9444454
1008807503,1089380,110184210,14.0,R10A,not required,0,0,40.74084864,-73.985502
1017890021,1087552,110187547,185.0,R8A,required - high density,74,59,40.80250715,-73.93447119
1008227506,1089879,110187912,14.0,R10A,not required,0,0,40.74043033,-73.99228437
1008777501,1089666,110190720,82.0,R10A,not required,0,0,40.73812867,-73.98401642
1008797503,1088836,110196314,55.0,R9A,not required,0,0,40.73977769,-73.9839184
1016160049,1088912,110198955,123.0,R8A,required - high density,49,34,40.79629997,-73.94654734
1019530124,1089539,110202370,2.0,R7-2,required - high density,1,0,40.8113422,-73.95135246
1017530066,1089526,110202389,3.0,R7-2,required - high density,2,0,40.80850746,-73.93983085
1013997502,1089700,110214438,22.0,R9X,not required,0,0,40.76574827,-73.96529972
1007647503,1088525,110216588,27.0,R8A,not required,0,0,40.73961428,-74.00143011
1013397502,1089803,110219095,88.0,R10,not required,0,0,40.75170612,-73.96816248
1007350017,1088683,110220289,98.0,R8A,not required,0,0,40.756176,-73.996358
1019080012,1089942,110220350,12.0,R7-2,required - high density,6,0,40.8073784,-73.9481033
1014247504,1088589,110248287,8.0,R10,not required,0,0,40.76752554,-73.95988539
1018280063,1090410,110283229,30.0,R8A,required - high density,12,0,40.80211834,-73.9566891
1021800513,1064467,110284745,86.0,R7-2,required - high density,43,28,40.85765663,-73.93249281
1005700007,1009376,110296750,4.0,R10,not required,0,0,40.73508006,-73.9938755
1020880016,1089154,110312313,114.0,R8,required - high density,23,8,40.82407231,-73.9541438
1006990009,1088520,110349999,28.0,R9,not required,0,0,40.75115084,-74.00406952
1011677502,1088786,110359727,68.0,R10A,not required,0,0,40.78130438,-73.98064924
1010630033,1088573,110369351,10.0,R8,not required,0,0,40.7658231,-73.98759543
1017550047,1089072,110375512,40.0,R7-2,required - high density,12,0,40.80912052,-73.93742034
1008857504,1089336,110414506,10.0,R8A,not required,0,0,40.74361878,-73.98129076
1016740010,1088305,110417503,259.0,R8A,required - high density,104,89,40.78802846,-73.94325103
1003790053,1088945,110427967,57.0,R7-2,not required,0,0,40.72503897,-73.97693715
1020400005,1089142,110438278,31.0,R7-2,required - high density,16,0,40.82841494,-73.93712686
1020320023,1088288,110439712,65.0,R7-2,required - high density,20,5,40.82277649,-73.93923247
1010107506,1088565,110463418,132.0,R10,not required,0,0,40.76550672,-73.97901504
1019547501,1089109,110469261,156.0,R8A,required - high density,62,47,40.81195367,-73.95087275
1019540036,1089108,110469298,70.0,R8A,required - high density,28,13,40.81199909,-73.9501924
1005620029,1009111,120003986,8.0,R7-2,not required,0,0,40.73206536,-73.99160057
1003777503,1089381,120026426,78.0,R8B,not required,0,0,40.72349865,-73.97656532
1002287503,1089842,120027434,15.0,M1-5B,not required,0,0,40.72196092,-74.00335034
1008380038,1080727,120041409,72.0,M1-6,not required,0,0,40.7501284,-73.9841049
1005957506,1088908,120051521,7.0,R8A,not required,0,0,40.72507811,-74.00948997
1007000009,1089395,120053707,710.0,R10,not required,0,0,40.7518468,-74.00360608
1004150077,1089952,120057375,4.0,R8A,not required,0,0,40.71945213,-73.98981561
1002827502,1088291,120062831,1.0,C6-1G,not required,0,0,40.71360674,-73.99300008
1014860001,1046293,120069362,82.0,R10,not required,0,0,40.76818209,-73.9523675
1002177504,1090481,120081614,15.0,R8A,not required,0,0,40.72189053,-74.01007619
1009310017,1090206,120103976,56.0,R8,not required,0,0,40.73874797,-73.97852202
1019370118,1058744,120108882,2.0,R7-2,required - high density,1,0,40.81347434,-73.94671791
1019120043,1089103,120146190,80.0,R7-2,required - high density,40,25,40.80998615,-73.94527229
1017897501,1088865,120175906,49.0,R9,required - high density,20,0,40.80335589,-73.93562863
1017560024,1088824,120210360,65.0,R7-2,required - high density,20,5,40.80969228,-73.93748357
1014100068,1089948,120225078,1.0,R8B,not required,0,0,40.77326044,-73.9614814
1014100065,1089949,120225096,1.0,R8B,not required,0,0,40.7731678,-73.96126458
1014100066,1088752,120225103,1.0,R8B,not required,0,0,40.77321343,-73.9613717
1014337502,1088595,120231855,45.0,R10A,not required,0,0,40.77393545,-73.95718842
1018797502,1089870,120234406,6.0,R8B,not required,0,0,40.80201997,-73.96688089
1016390043,1089400,120266210,24.0,R7A,required - high density,7,0,40.7955585,-73.94275894
1017240014,1053549,120284156,8.0,R7-2,required - high density,4,0,40.80809229,-73.94364789
1015220040,1088925,120289053,2.0,R10,not required,0,0,40.783879,-73.950555
1007237502,1089398,120299275,168.0,R8,not required,0,0,40.74809953,-74.00056843
1007620060,1088826,120325594,199.0,C6-4M,not required,0,0,40.75580388,-73.99289563
1018487505,1089535,120335609,14.0,R7A,required - high density,4,0,40.804456,-73.956196
1001790068,1002018,120420650,3.0,R8A,not required,0,0,40.718911,-74.007175
1007620060,1090696,120463202,6.0,C6-4M,not required,0,0,40.75548261,-73.99287268
1017257502,1088448,120467075,13.0,R7-2,required - high density,7,0,40.80809713,-73.94174087
1021117501,1089725,120470613,49.0,R7-2,required - high density,25,0,40.83870827,-73.93696864
1001950027,1089955,120476163,33.0,R8A,not required,0,0,40.71772993,-74.00197221
1010750029,1026966,120477741,20.0,R8,not required,0,0,40.76242491,-73.99377706
1016450070,1089692,120477803,87.0,R7-2,required - high density,44,0,40.80029297,-73.94207207
1011057501,1089709,120481246,709.0,R10,not required,0,0,40.77146352,-73.99301307
1020697501,1089726,120497523,124.0,R8A,required - high density,50,35,40.83037947,-73.94095651
1017110111,1088465,120523282,7.0,R7B,required - high density,4,0,40.79641832,-73.9338279
1010737501,1083785,120526911,698.0,R10,not required,0,0,40.76225713,-73.99664117
1010737502,1088825,120526920,297.0,R10,not required,0,0,40.76198136,-73.99594442
1010737503,1088816,120526939,243.0,R10,not required,0,0,40.76153062,-73.99501845
1004480040,1090175,120537990,1.0,R8B,not required,0,0,40.72692948,-73.9869777
1001497503,1089729,120571194,18.0,R9A,not required,0,0,40.71487,-74.007063
1013187501,1089880,120572344,67.0,R10,not required,0,0,40.75166414,-73.97207484
1008177503,1089677,120596364,55.0,C6-2M,not required,0,0,40.73762086,-73.99460645
1016250046,1089773,120614193,11.0,R7-2,required - high density,6,0,40.78672394,-73.94940324
1011690016,1088838,120619358,181.0,R10A,not required,0,0,40.78250459,-73.98031918
1004110025,1088645,120628348,8.0,R7A,not required,0,0,40.72072415,-73.98823555
1012927502,1088817,120628776,144.0,C5-2.5,not required,0,0,40.76152492,-73.97181343
1008577502,1016884,120639158,46.0,R10,not required,0,0,40.74421333,-73.98724744
1017560026,1088830,120640896,47.0,R7-2,required - high density,14,0,40.80942499,-73.93717781
1017807501,1054513,120643535,173.0,R8,required - high density,69,54,40.8090117,-73.93554955
1018467503,1089445,120643544,69.0,R10,required - high density,28,0,40.80128467,-73.95917841
1010810101,1090088,120649851,96.0,R8A,not required,0,0,40.76680261,-73.9924623
1010630011,1026757,120651543,10.0,R8,not required,0,0,40.76629577,-73.98932393
1011320035,1089447,120653024,339.0,R10,not required,0,0,40.77195539,-73.98608166
1007757502,1088709,120655237,204.0,R8A,not required,0,0,40.74679922,-73.99678235
1007977508,1089626,120685963,50.0,R9A,not required,0,0,40.74259374,-73.99546667
1004807503,1007184,120688041,11.0,R7-2,not required,0,0,40.72125632,-73.99588741
1004050045,1089794,120690270,46.0,R8B,not required,0,0,40.72794865,-73.98015242
1018060021,1088670,120695186,10.0,R7A,required - high density,3,0,40.79656873,-73.93240355
1004510048,1088696,120698931,2.0,R8B,not required,0,0,40.72880598,-73.98587381
1004567501,1088698,120732895,65.0,R8X,not required,0,0,40.72418963,-73.99123407
1015087501,1089377,120735482,31.0,R10A,not required,0,0,40.77532585,-73.95914871
1003720031,1089954,120776785,33.0,R8B,not required,0,0,40.72074265,-73.97890207
1007017502,1089862,120785622,390.0,R10,not required,0,0,40.75199891,-74.00154586
1017800075,1088821,120785971,140.0,R8,required - high density,56,41,40.80864837,-73.93520848
1002287504,1090164,120794499,18.0,M1-5A,not required,0,0,40.72197553,-74.00376473
1013980050,1090730,120805539,1.0,R9X,not required,0,0,40.76500826,-73.96567257
1003987503,1088371,120808812,5.0,R7A,not required,0,0,40.72240985,-73.98337648
1017230031,1089797,120809287,29.0,R7A,required - high density,15,0,40.80721802,-73.94257581
1005270089,1089442,120813539,1.0,R6,not required,0,0,40.72960715,-74.00320159
1003947507,1089953,120818909,40.0,R7A,not required,0,0,40.7278142,-73.97892149
1021300057,1090339,120841553,8.0,R7-2,required - high density,4,0,40.84349134,-73.93542096
1020510118,1089933,120841562,2.0,R7-2,required - high density,1,0,40.82287429,-73.94400798
1021230067,1062967,120880163,44.0,R7-2,required - high density,22,0,40.839039,-73.937926
1014930044,1090552,120898751,1.0,R8B,not required,0,0,40.77772612,-73.95989609
1015387501,1090174,120921002,231.0,R10,not required,0,0,40.78270765,-73.95041296
1005300013,1008476,120933302,8.0,M1-5B,not required,0,0,40.72716605,-73.99398689
1017230153,1089944,120945898,8.0,R6A,required - high density,4,0,40.8075756,-73.94344061
1003087501,1089620,120950541,8.0,R8,not required,0,0,40.71631556,-73.99155338
1017530115,1089854,121001174,2.0,R7-2,required - high density,1,0,40.80787744,-73.93933806
1004277507,1090397,121011396,11.0,R7-2,not required,0,0,40.72304585,-73.9920246
1007917502,1014563,121026709,15.0,R8A,not required,0,0,40.73901002,-73.99713974
1019540038,1089940,121031775,30.0,R8A,required - high density,12,0,40.81221182,-73.95049724
1018310023,1088835,121036093,29.0,R7A,required - high density,9,0,40.80306524,-73.95377639
1007730044,1090490,121040729,49.0,R9X,not required,0,0,40.74460885,-73.99559146
1003907503,1004721,121046572,6.0,R7A,not required,0,0,40.72435311,-73.9791231
1002147505,1090585,121088526,4.0,R8A,not required,0,0,40.72098513,-74.0097179
1019530062,1090564,121153651,8.0,R7-2,required - high density,4,0,40.81242978,-73.95301001
1021260053,1088872,121153777,8.0,R7-2,required - high density,4,0,40.84095767,-73.93720697
1014367504,1090528,121163436,30.0,R10,not required,0,0,40.76187572,-73.9630554
1017560047,1090503,121165069,12.0,R7-2,required - high density,6,0,40.80972315,-73.93701113
1006957508,1089697,121181014,14.0,R8A,not required,0,0,40.74847966,-74.00457189
1005567502,1088780,121181050,85.0,R7-2,not required,0,0,40.73187535,-73.98858559
1012687503,1089376,121181121,173.0,C5-2.5,not required,0,0,40.7608177,-73.97734577
1022380033,1089788,121181149,28.0,R7-2,required - high density,14,0,40.86691297,-73.92432238
