bbl,bin,jobnum,year,units,counits,parktype
1004207501,1087549,102491590,2010,55.0,54,not required
1004710015,1087877,102922955,2010,5.0,5,not required
1016390027,1087368,103174084,2011,30.0,30,required - high density
1017160051,1089401,103322815,2013,39.0,39,required - high density
1016767505,1088159,103368160,2010,8.0,8,required - high density
1005867502,1088707,103490624,2010,5.0,5,not required
1016330020,1088165,103523821,2010,37.0,37,required - high density
1020457505,1089581,103630215,2016,14.0,14,required - high density
1006957510,1090389,103715393,2016,6.0,6,not required
1017860045,1054620,103731473,2017,4.0,4,required - high density
1019160154,1058136,103769254,2012,2.0,2,required - high density
1006370051,1012002,103859521,2014,6.0,6,not required
1016440041,1088163,103869164,2011,1.0,1,required - high density
1001060002,1086078,103935191,2010,3.0,3,not required
1013227502,1038040,103964088,2010,76.0,76,not required
1002197505,1088677,104014781,2011,7.0,7,not required
1019130038,1057953,104035312,2015,13.0,13,required - high density
1015157504,1088727,104086230,2010,6.0,6,not required
1008810060,1088613,104090715,2011,8.0,8,not required
1019537502,1087740,104093428,2017,11.0,11,required - high density
1004380018,1087563,104108243,2010,11.0,11,not required
1016817503,1081362,104126802,2011,35.0,35,required - high density
1022380014,1088127,104136793,2011,22.0,22,required - high density
1019280005,1088142,104149930,2016,6.0,6,required - high density
1017090015,1089523,104160916,2019,13.0,13,required - high density
1018487504,1088149,104196816,2011,4.0,4,required - high density
1000537502,1088442,104215010,2010,223.0,440,not required
1008330040,1088687,104224778,2017,1.0,1,not required
1016600024,1052468,104226035,2013,16.0,16,required - high density
1018250043,1087969,104251587,2010,21.0,21,required - high density
1001007502,1087485,104293774,2011,898.0,898,not required
1017720009,1088783,104308740,2010,50.0,50,required - high density
1019537503,1089730,104309687,2014,12.0,12,required - high density
1002847504,1083411,104314939,2018,20.0,20,not required
1003787501,1089859,104315117,2016,30.0,30,not required
1020067501,1089124,104320110,2010,15.0,15,required - high density
1020077502,1087838,104320129,2010,17.0,17,required - high density
1004067503,1089863,104325650,2016,11.0,11,not required
1013697502,1040540,104335667,2010,6.0,6,not required
1001070028,1088490,104340713,2012,40.0,40,not required
1007467507,1087987,104349821,2010,14.0,14,not required
1015297501,1048713,104359196,2012,3.0,3,not required
1004150010,1089458,104369844,2016,1.0,1,not required
1006940039,1087591,104383613,2011,111.0,111,not required
1005077502,1088895,104400300,2013,24.0,24,not required
1003537503,1088708,104403511,2011,24.0,24,not required
1003450058,1088482,104408071,2010,248.0,248,not required
1001497502,1087951,104409766,2011,84.0,84,not required
1006967502,1088748,104415633,2010,18.0,18,not required
1020117501,1060104,104429968,2010,10.0,10,required - high density
1005957505,1088839,104439546,2011,9.0,9,not required
1002837503,1089025,104441695,2012,23.0,23,not required
1002767503,1088682,104444996,2010,28.0,28,not required
1018287506,1088153,104471938,2010,36.0,36,required - high density
1016447502,1052311,104500238,2010,19.0,19,required - high density
1016447501,1088162,104500693,2010,22.0,22,required - high density
1005947510,1089837,104502566,2016,31.0,31,not required
1017360001,1083987,104510218,2018,64.0,64,required - high density
1019530030,1059340,104512591,2010,8.0,8,required - high density
1020650022,1061578,104523464,2010,16.0,16,required - high density
1015447502,1077060,104529413,2010,7.0,7,not required
1010637502,1087823,104530562,2010,83.0,83,not required
1020627501,1089332,104531231,2013,12.0,12,required - high density
1011697502,1088577,104550022,2010,33.0,33,not required
1021550026,1063701,104551414,2015,16.0,36,required - high density
1013447503,1089775,104560235,2015,123.0,123,not required
1015540023,1087665,104563401,2010,113.0,105,not required
1021807504,1088734,104566578,2010,40.0,40,required - high density
1007367501,1089889,104576246,2014,108.0,194,not required
1012607502,1034238,104579038,2010,53.0,53,not required
1018487503,1088733,104585325,2010,73.0,73,required - high density
1006957507,1088639,104589562,2011,11.0,11,not required
1016837502,1052875,104590435,2010,21.0,21,required - high density
1006417503,1087979,104603216,2010,12.0,12,not required
1018070015,1089085,104619646,2010,41.0,41,required - high density
1016617503,1076370,104624300,2014,12.0,12,required - high density
1007600068,1013606,104626031,2010,207.0,207,not required
1005090019,1082676,104626282,2013,9.0,9,not required
1019557502,1088814,104627254,2011,22.0,22,required - high density
1019167501,1088684,104627290,2011,8.0,8,required - high density
1016077503,1051489,104631150,2012,229.0,229,required - high density
1001907508,1088918,104631837,2012,6.0,6,not required
