bbl,bin,jobnum,year,units,counits,parktype
1010630033,1088573,110369351,2013,10.0,10,not required
1008857504,1089336,110414506,2013,10.0,10,not required
1003790053,1088945,110427967,2011,57.0,57,not required
1010107506,1088565,110463418,2013,132.0,350,not required
1005620029,1009111,120003986,2011,8.0,8,not required
1003777503,1089381,120026426,2012,78.0,78,not required
1002287503,1089842,120027434,2015,15.0,15,not required
1008380038,1080727,120041409,2013,72.0,72,not required
1005957506,1088908,120051521,2012,7.0,7,not required
1007000009,1089395,120053707,2013,710.0,710,not required
1004150077,1089952,120057375,2015,4.0,20,not required
1002827502,1088291,120062831,2015,1.0,1,not required
1014860001,1046293,120069362,2016,82.0,82,not required
1002177504,1090481,120081614,2015,15.0,15,not required
1009310017,1090206,120103976,2016,56.0,56,not required
1014100068,1089948,120225078,2018,1.0,1,not required
1014100065,1089949,120225096,2018,1.0,1,not required
1014100066,1088752,120225103,2019,1.0,1,not required
1014337502,1088595,120231855,2013,45.0,45,not required
1018797502,1089870,120234406,2015,6.0,6,not required
1015220040,1088925,120289053,2015,2.0,2,not required
1007237502,1089398,120299275,2011,168.0,168,not required
1007620060,1088826,120325594,2012,199.0,199,not required
1001790068,1002018,120420650,2013,3.0,3,not required
1007620060,1090696,120463202,2015,6.0,6,not required
1001950027,1089955,120476163,2014,33.0,33,not required
1010750029,1026966,120477741,2013,20.0,20,not required
1011057501,1089709,120481246,2016,709.0,709,not required
1010737501,1083785,120526911,2013,698.0,698,not required
1010737502,1088825,120526920,2013,297.0,297,not required
1010737503,1088816,120526939,2013,243.0,243,not required
1004480040,1090175,120537990,2013,1.0,1,not required
1001497503,1089729,120571194,2015,18.0,18,not required
1013187501,1089880,120572344,2016,67.0,67,not required
1008177503,1089677,120596364,2015,55.0,55,not required
1011690016,1088838,120619358,2013,181.0,181,not required
1004110025,1088645,120628348,2016,8.0,8,not required
1012927502,1088817,120628776,2015,144.0,144,not required
1008577502,1016884,120639158,2013,46.0,46,not required
1010810101,1090088,120649851,2013,96.0,96,not required
1010630011,1026757,120651543,2013,10.0,10,not required
1011320035,1089447,120653024,2014,339.0,339,not required
1007757502,1088709,120655237,2013,204.0,204,not required
1007977508,1089626,120685963,2014,50.0,50,not required
1004807503,1007184,120688041,2015,11.0,11,not required
1004050045,1089794,120690270,2014,46.0,46,not required
1004510048,1088696,120698931,2018,2.0,2,not required
1004567501,1088698,120732895,2013,65.0,65,not required
1015087501,1089377,120735482,2013,31.0,31,not required
1003720031,1089954,120776785,2014,33.0,33,not required
1007017502,1089862,120785622,2014,390.0,390,not required
1002287504,1090164,120794499,2016,18.0,18,not required
1013980050,1090730,120805539,2019,1.0,1,not required
1003987503,1088371,120808812,2017,5.0,5,not required
1005270089,1089442,120813539,2014,1.0,1,not required
1003947507,1089953,120818909,2016,40.0,40,not required
1014930044,1090552,120898751,2015,1.0,1,not required
1015387501,1090174,120921002,2016,231.0,231,not required
1005300013,1008476,120933302,2016,8.0,8,not required
1003087501,1089620,120950541,2017,8.0,8,not required
1004277507,1090397,121011396,2017,11.0,378,not required
1007917502,1014563,121026709,2020,15.0,15,not required
1007730044,1090490,121040729,2018,49.0,49,not required
1003907503,1004721,121046572,2014,6.0,6,not required
1002147505,1090585,121088526,2018,4.0,4,not required
1014367504,1090528,121163436,2017,30.0,30,not required
1006957508,1089697,121181014,2014,14.0,14,not required
1005567502,1088780,121181050,2014,85.0,85,not required
1012687503,1089376,121181121,2014,173.0,173,not required
1001907509,1002169,121181238,2015,18.0,18,not required
1011717509,1089742,121181363,2015,273.0,273,not required
1003720041,1088845,121181639,2014,135.0,135,not required
1008577503,1089699,121181808,2014,350.0,350,not required
1007000027,1090201,121181915,2017,372.0,372,not required
1007017501,1089360,121182031,2014,139.0,139,not required
1004697506,1089710,121182273,2014,83.0,83,not required
1011580012,1030346,121182718,2015,236.0,236,not required
1014377501,1090106,121182978,2015,22.0,22,not required
1004757512,1090251,121183030,2017,4.0,4,not required
1006957509,1088873,121183236,2015,8.0,8,not required
1005300062,1090488,121183316,2015,11.0,11,not required
1007020010,1089323,121184208,2018,392.0,392,not required
1007757503,1089820,121184244,2015,49.0,49,not required
